Year,Month,Neurons,Authors,Method,Source,Publication,Method Note,DOI
2015,4,1800,Peron et al. ,Imaging,Urai,Neuron,2p,https://doi.org/10.1016/j.neuron.2015.03.027
2016,3,144,Rajangam et al.,Ephys,Stevenson,Scientific Reports,,https://doi.org/10.1038/srep22170
2016,12,1166,Kim et al.,Imaging,Urai,Cell Reports,mouse,https://doi.org/10.1016/j.celrep.2016.12.004
2016,6,3000,Sofroniew et al.,Imaging,Urai,eLife,mouse mesoscope,https://doi.org/10.7554/eLife.14472
2016,10,3000,Prevedel et al.,Imaging,Rupprecht,Nature Methods,2p; 100s of neurons at 10Hz or 1000s of neurons at 3Hz,https://doi.org/10.1038/nmeth.4040
2017,3,2234,Hilgen et al.,Ephys,Stevenson,Cell Reports,MEA,https://doi.org/10.1016/j.celrep.2017.02.038
2017,9,807,Mitz et al.,Ephys,Stevenson,Journal of Neuroscience Methods,8 utah arrays (n is an average),https://dx.doi.org/10.1016%2Fj.jneumeth.2017.07.001
2017,11,741,Jun et al.,Ephys,Stevenson,Nature,Neuropixels,https://doi.org/10.1038/nature24636
2017,9,80000,Cong et al. ,Imaging,Urai,eLife,light-sheet in freely moving fish,https://doi.org/10.7554/eLife.28158
2017,2,511,Song et al. ,Imaging,Charles,Nature Methods,2p; ~1K at 30Hz,https://doi.org/10.1038/nmeth.4226
2017,7,10000,Pachitariu et al.,Imaging,Meijer,bioRxiv,,https://doi.org/10.1101/061507
2018,1,146,Rutishauser et al.,Ephys,Stevenson,Neuron,,https://doi.org/10.1016/j.neuron.2017.11.029
2018,4,375,Chung et al.,Ephys,Stevenson,Biorxiv,,https://doi.org/10.1101/242693
2018,11,80000,Chen et al. ,Imaging,Urai,Neuron,"zebrafish, light-sheet",https://doi.org/10.1016/j.neuron.2018.09.042 
2019,4,2668,Stringer et al.,Ephys,Stevenson,Science,Neuropixels,https://doi.org/10.1101/306019
2019,10,1026,Bartolo et al.,Ephys,Stevenson,PLoS Comp Biology,8 utah arrays,https://doi.org/10.1371/journal.pcbi.1007514
2019,11,1769,Steinmetz et al.,Ephys,Stevenson,Nature,Neuropixels (max count - from shared data),https://doi.org/10.1038/s41586-019-1787-x
2019,4,11262,Stringer et al. ,Imaging,Urai,Science,2p,https://doi.org/10.1126/science.aav7893
2019,4,11907,Weisenburger et al.,Imaging,Urai,Cell,,https://doi.org/10.1016/j.cell.2019.03.011
2020,2,828,Bartolo et al.,Ephys,Stevenson,Journal of Neuroscience,8 utah arrays,https://doi.org/10.1523/JNEUROSCI.2072-19.2019
2020,3,221,Obaid et al.,Ephys,Urai,Science Advances,,https://doi.org/10.1126/sciadv.aay2789 
2020,3,2000,Rumyantsev et al.,Imaging,Rupprecht,Nature,2p,https://doi.org/10.1038/s41586-020-2130-2
2020,7,16000,Ota et al. ,Imaging,Urai,bioRxiv,,https://doi.org/10.1101/2020.07.14.201699
2020,7,791,Sahasrabuddhe et al.,Ephys,Urai,bioRxiv,,https://doi.org/10.1101/2020.07.17.209403
2021,2,1000000,Demas et al. ,Imaging,Urai,bioRxiv,,https://doi.org/10.1101/2021.02.21.432164
